Text,Actual,Predicted
কিন্তু আমার প্রশ্ন হলো বিসিসিআই এ অমিত শাহার প্রভাব কি বোর্ডে রাজনীতির দখল প্রমাণ করে না ,0,2
"হত্যা , ঘুষ , সুদ , ডাকাতি , ভরে গেছে ",2,1
কি আমার দামটাই কমাইছে গো ! ৬০ টাকার জিনিস ৫৫ । মাত্র ৫ টাকা ! ২০ অথবা ৩০ হইলে তাও একটা কথা ছিলো,1,0
ব্রেন মাসালা টা কি গরুর নাকি ছাগলের,0,2
পরলেই ভদ্র লোক হওয়া যায় না,2,1
বিবিসি বাংলার পর যে নিউজ চ্যানেলকে ভালোবাসি সেটা হলো * যমুনা টিভি * দেশের এই প্রতিকূল অবস্থায় ও আপনাদের নিরপেক্ষ সংবাদ গুলো আমাকে বার্তা দেয় * দেশে এখনো সাহসী মানুষ আছে *,0,1
"ত্রিশ লাখ না দিক , লাখ খানিক তো দিতে পারতো , এবার কত লাখ তলে তলে জলে যাবে , এই ঘটনা ধামা চাপা দিতে আল্লাহ জানে , যমুনা টিভি একটু সাহায্য করলেই ",0,1
পুরস্কার গুলা দিতে দেখলে আরো মজা ও ভালো লাগতো ভাই । পুরস্কার যেটাই হোক,2,1
তাই বলি ন্যেকিটা সিরিয়াল ছেড়ে রান্নাঘরে কেন ঢুকলো,2,0
এসব জালিমদের আল্লাহ বিচার করুক,1,2
এরা দুইজনই পেইড রিভিউয়ার এবং এরা খাবারের রিভিউ ঠিক করে একেবারে বলতেই পারে না ,2,1
আর শুধু কি বাংলাদেশিরাই ভারতে চুরি করতে যায় আপনারা আসেন না ? আপনি কি জনেন আপনাদের দেশেরে থেকে আমাদের দেশে বেকরত্ব কম ?,2,1
না দা ভাগাড়ের মরা মুরগী বা পাঙ্গাস নয় আসল ভেটকী,1,2
আপনারতো আর টাকা লাগে না খাইতে । তাই ২৫০ টাকা দিয়ে ভাত খান,2,1
তেহেরীটা পেলে মিস করবেন না,1,0
যানি না এই কমেন্ট পড়বেন কিনা । তারপর ও লিখছি,1,2
পরাতন ঢাকার নীরব হোটেলে খান,0,1
টিপিক্যাল নোংরা কাটার বাচ্চা,2,0
আমার বাংলা দেশি অনেক ভাই বিদেশ থাকে । কিন্তু ওরা দেখতে পায় খেতে পায় না তারা অনেক কষ্ট পায় তাদের দেশের কথা মনে পরে জায় । কেন এমন বিডিও বানান । আসলে আমি বাংলা দেশ থেকে বলছি আমি এক জন মেয়ে,2,1
ভাইয়া কাটার একটা নায়েফ নিলে ভালো হতো কাটতে ,0,1
"সবজি , হালুয়া , ডাল , দই এসব প্রায় সব রেষ্টুরেন্টে পাবেন । এর বেশি ভেজ সকালে আর হয় না । আমাদের এখানে মিষ্টির দোকান গুলোতে সকালে নাস্তা করা যায় ওখানে দই মিষ্টি ও পাবেন ",0,1
ছোট একটা মাছ 400 টা ডাকাতির জায়গা ,2,1
খাবার গুলোর দাম অবাক করার মতন বেশি । আর ওদের আইটেম সব প্রায় একি,2,1
পর্ব বাড়ানোর জন্য হুদাই এভাবে রাস্তা দেখানোর কোন প্রয়োজন নাই । আর একটু পর পর হুদাই ভেভে করে হাসবেন না,2,1
রাষ্ট্রপতির কোন ক্ষমতা না থাকায় আনুষ্ঠানিক প্রধান হওয়ায় এইসব কৌতুক আর নাটক করে বেড়ায়,0,2
এই তো দেখি এরশাদ শিকদারের মত হাহাহা যদি ঠিক মতন বিচার হয় তাহলে এরশাদ শিকদারের মতোই মরতে হবে ফাঁসিতে,0,2
"ভিডিওটা দেখে নস্টালজিক হয়ে গেলাম দাদা , কোথায় হারিয়ে গেল সোনালী সেই সব দিনগুলি , সবাই আমরা চাকরি , ব্যবসা করে সব সুখ স্বচ্ছন্দ কিনতে পারছি , কিন্তু ছাত্রবয়েসের সেই দিনগুলি কোনো মূল্যেই আর ফেরত পাবো না ",1,2
তোমরা কি দুবাই শহর দেখ না যে এখানে একটা ইউটানের জন্য কতটুকু জায়গার দরকার । অল্প জায়গা হলেই হয়,0,2
কার এতো টেকা পড়ছে যে লাখ টাকা দিয়ে আইফোন কিনব যেখানে 40 হাজার খরচে ওয়ান প্লাস এবং এর চাইতেও অনেক ভালো ফোন পাওয়া যাবে,0,1
সাজেক নিয়ে আমার সব গুলো পার্ট না দেখলে বুঝবেন কিভাবে !,0,2
"দেরি হলে তো আরো বেশি টাকা দেওয়ার কথা , কারণ যতদিন সে টাকা নেই নি ততদিন তার টাকার ইন্টারেস্ট বাড়ছে না ? ",0,2
বিদ্যানন্দের নাম শুনেই লাইক বাটনের ক্লিক করে দিয়েছি । এই মানুষগুলোর জন্য অবিরাম ভালোবাসা,1,2
খুব ভালো তবে চিরিয়াখানায় নিলেতো পচা খাবার খাওয়াইবো কারন ওইখানের সব অসাধু,2,1
পাপন তো দেখছি দোগলা ব্যক্তি । যেন দোমুখো সাপ । একমুখে রাম নাম আরেক মুখে রাজ্যের গালি । লোকটার প্রতি শ্রদ্ধা হারিয়ে ফেললাম ,2,1
"ওদের কি উপাধি দেওয়া যায় , শয়তান , ইবলিশ , নরপিশাচ , শুয়ার , কুত্তা , অমানুষ , ধুর ও যায় বলি একটাও ওদের সাথে যাচ্ছে না কম কম লাগছে , কেউ বলে দাও প্লিজ কি উপাধি দিলে পারফেক্ট হবে । ? ",2,1
আপু আপনাকে মেকআপে সুন্দর দেখায় না । সামনেরবার থেকে মেকআপ না করে উপস্থাপন করবেন,2,1
একপিস মাংসের কাচ্চি নাকি ১৮০ টাকা,0,2
এই সব খাবার খেতে কত টকা লাগল,0,2
এটা ডিজিটাল বাংলাদেশ । গরিব দুঃখিদের কি ভাবে পুটকি মেরে খাবে তারা জানে,0,2
"এটা বলা ঠিক না আল্লাহ চাইলে কিনা করতে পারেন , আজ এই কথা বললেন যেদিন এই পদ্মাসেতু নির্ধারিত টাইমের আগেই যদি ভেঙ্গে যায় তখন কি বলবেন , এই কথাটির ফল দেখতে পারবেন অতি শিগগিরই ",0,2
নিজে কি যেই ভালো মানের বুজালেন বুঝা যায় আপনি দেখেন না,2,1
এটা শসা না । পিকল্ স । প্রত্যেক ভিডিওতেই এরকম উল্টা পাল্টা ইনফরমেশন দিতেই থাকেন,2,0
নতুনকে জায়গা দিতে পুরনোকে জায়গা ছেড়ে দিতে হবে,1,2
আপু আমি তো প্রতি দিন হাটা হাটি করি কিন্ত প্যাটের চরভি তো কমেনা ,0,2
মাদার চোদ্দ পুলিশ কুওা বাচ্চা পুলিশ,2,0
টাকা দিয়ে এভাবে ঝাল খেয়ে নিজেকে অত্যাচার করার মানে নাই । টাকা দিয়া খাব যখন আরাম আয়েশ করে তৃপ্তি নিয়ে ধীরে সুস্থে খাব,1,2
"আমাদের বাংলাদেশের কোন কোন জায়গায় সিজনে ৫ টাকা কেজিও বিক্রি হয় , বুঝলেন ",0,2
শক্তিগড়ের লেংচা মিষ্টি ভায়া,1,2
বুয়েটে ছাত্র রাজনীতি বন্ধ রাখা কোনও সমাধান না ছাত্র রাজনীতি তে সুষ্ঠ ধারা ফিরিয়ে আনা হলো ছাত্র রাজনীতি একমাত্র সমাধান,0,1
গাদা কোথাকার ওটাতো উছিলা মাএ বাঁছিয়েছেনতো মহান আললাহ,2,0
এই শালা বলে কেই নকি জোগাজোগ করেনি টাকার ঝনন শালারে বিচার কড়া দরকার,0,2
"4 জন 5 দিন 70 , 000 টাকা । দুই দেশেরই ভিসা লাগবে ",0,1
কে বলেছে আপনাকে এখানে কেবন ব্ল্যাক কফি পাওয়া যায় ? ভালো করে জেনে তারপর ভিডিও বানান,2,1
চাদাবাজি কে ঠিকাদারি বললি,2,0
আমি পানের দোকানে গেছিলাম । কিন্তু লোকটি আমার পানে সম্পুর্ন উপকরণ দেয় নি । অনেক উপকরণ দেয় নি,2,1
এখন ইলিয়াস ভাই এর একটা লাইভ দরকার । দেশের জনগণ যেন জেগে ওঠে । আন্দ লিব রহমান পার্থ ভাই এখন কই মাঠে আসুক । এবং সকলে মিলে দেশটাকে বাচায়,1,2
"পাছায় নাই ছাল থেকে বাকলা , তিন থেকে কলা খাই একলা একলা ",2,0
আপনাকে দেখেই বোঝা যায় যে আপনার তথাকথিত বৌ নওশীন আপনাকে বাড়তে কিছুই রেঁধে খাওয়ায় নাহ । রাস্তায় রাস্তায় ঘুরতে হয় খাওয়ার জন্য,2,1
১ টাকার শিঙ্গারা,1,0
"সেই সব বাবা মারা লোভী , তারা টাকার গন্ধ পেয়েছে । ঢাকায় এসে মিছিল করেন এই ঘুনে ধরা ছেলের বিপক্ষে । লোভে যেন আম ছালা না যাই , ভন্ড সাধু সাবধান ",0,2
"নুরু সকল করিও , কিন্তু কোনো ধর্মকে ব্যঙ্গ ও গালি দিওনা ",0,2
"কামরুল ভাই বলে কম , আমাদের মতো এতো কথা উনি বলেন না , যেটুক বলেন , আলহামদুলিল্লাহ্ ভালোই বলেন ",1,2
আমি খোঁজতে খোঁজতে পাইলাম না । শেষ পর্যন্ত দেখতে হল ,0,1
দারুন হয়েছে আমি আকাশ থেকে পড়বা সাঁতার কাটবো ,1,0
এটাই ত চাই । সবাই মিলেমিশে থাকা । কিছু কিছু ইউটিউবাররা ত একজন আরেকজনের পিছনে সারাদিন গুতোগুতি করে,1,0
"কতোদিন মিস করেছি । "" আরেকটু খাই , আরেকটু মুখে দেই "" ",1,2
এরা লটারির টাকা ভাগবাটোয়ারা করে হজম করে ফেলেছে । এরা প্রতারক । এদের ধরে জনসমক্ষে পিটানো হোক,0,2
এখানের খাবারের মান বিলো এভারেজ । অস্বাস্থকর সব খাবার,2,1
আপনার কমেন্ট টা খুবই কষ্টদায়ক ! একটা ভিডিওর পিছনের কাহিনী যদি জানতেন তাহলে এই রকম কমেন্ট করতেন না ভাইয়া ! আমার কোন টিম নেই । সবই আমার নিজের করতে হয় । চাকরীর পাশাপাশি একটা কোয়ালিটি ভিডিও রেডি করতে যে কি পরিমাণ পরিশ্রম যায় সেইটা চোখে না দেখলে বোঝা কঠিন !,2,1
এরা দুইজনই পেইড রিভিউয়ার এবং এরা খাবারের রিভিউ ঠিক করে একেবারে বলতেই পারে না,2,1
মরলেই ভাল হইত জাক শিক্ষা হইসে অত পানিতে এতো ফুরতি আসে কয়থেকে,0,2
করে আসছি প্রশাসনিক পোশাখ ধারী এই সব পশু যানোয়ারের নির্মম অত‍্যাচার । তাই আজ আমাদের সকলকে এগিয়ে আসতে হবে এবং এই সব মানুষ নাম ধারি পশুর বিরুদ্ধে রুখে দাঁড়াতে হবে,1,2
"রিভিউ ও জায়গা চয়েজ ভাল , তবে এক কথা বার বার না বললে ভাল হয় , এটা বিরক্তিকর , আর সব কিছু এত ওভার এক্সপ্লেইন করার দরকার নাই । ধন্যবাদ ",0,1
"পুলিশের ইউনিটগুলো হয়ে গেছে মাল্টিপ্লাগের মত , যার কোন পোর্টই ঠিক মত কাজ করে না । বাংলাদেশি হিসেবে আমি লজ্জিত ",2,1
আমাদের নতুন চ্যানেলে জয়েন করুন,1,2
বাট আনার পর দেখি ৭০ পেকেট কাচ্চির ভিতর ১২ পেকেটে মাংসের কোন টুকরাই নাই,2,0
"শুওরের বাচ্চাদের আর দেখতে চাই না , ফাঁসি চাই ",2,1
"ভাই , ডিস্ক্রিপশনটা একটু পড়েন প্লিজ ",0,1
মাটন অথবা চিকেন খেলেন সেটা কি হালাল ছিল,2,0
লাইক কমান্ড দিয়ে পাশে আছি,0,2
"তালতলার বিপরিতে যেই তান্দুরী চিকেন পাওয়া যায় , ওটা খাইছেন ভাই ",1,0
সরকারকে পুলিশের জন্য এক টাকাও দিবেন না,0,2
সেই মামা পুরাই অস্থির একের ক,0,1
সাংবাদিকরা যদি বাংলার চাইতে প্রতিবেদনে ইংরেজি বেশী পছন্দ করেন তবে প্রতিবেদনটা ইংরেজীতে করলেই তো পারেন,2,1
"আমার মনে হচ্ছে আপনার অনেক জাল লাগছে , কিন্তু বলছেন না  ",0,1
নাক দিয়ে তরকারি ঘেরান নেওয়া,1,0
ভাই আর্মিদের রিসোর্টে কি সাধারণ মানুষ উঠতে পারে না,0,2
তাহলে আমি হয়তো ঠকেছি ! অথবা ভাড়া বেড়েছে : ),1,2
"স্টার হোটেলে শুধু মাত্র সকালে বিক্রি করতো , এখনো করে কিনা জানি না , তবে এতো স্বাদ স্টার এর কলিজার সিঙ্গাড়া , মনে হয় পুরাই মুখে লেগে আছে এখনো , বিশেষ করে ঠাটারিবাজারের স্টার হোটেলে ",1,2
হ‍্যা ভাই । বিবেকানন্দ রোডে,1,2
এটাই আমার রবের খেলা । কি ক্ষমতা আছে মানুষের এটা আমার ও প্রমান হলো ,1,0
দেশ ছেড়ে কলকাতা গিয়ে রিভিউ মারানো লাগে ক্যান ভাই ? দেশের রেস্টুরেন্ট গুলাকে শো করেন,2,1
ঢাকায় ইন্ডিয়ান থালীর রিভিউ দেখাবেন,1,2
তোরা এক মাদারি । অার কারো বাড়ি পাশনাই ,2,1
কারন রান্না শুরু থেকে শেষ পরযন্ত আমরা দেখছি আপনারা খাচ্ছেন,2,1
রানা দের মত ছেলেরা জাতে হারিয়ে না জায় ,1,2
সরকার চাইলে গরিবের টাকা টা আদাই করে দিতে পারে পুলিশ পসাসন এর দিসটি আকসন করছি,1,2
সাংবাদিক তার ধনটা শুশেদে কুত্তার ,2,0
"নিজের মানুষের সাথে কিসের বদলা ? সে ঝাল পছন্দ করে , রেয়ার খাবার ট্রাই করতে তার ভালো লাগে ",0,2
"আস্তে আস্তে বল করমু পারলে মাইরো ছয় , আমি কামলা খাইট্টা যামু তোমরা কইরো জয় । ❤ ️ ❤ ️ ",1,2
আমি অন্যান্ন ব্লগে দেখেছি এই প্রতিষ্ঠানের বয়স ২৫০ বছর । কোনটা সঠিক,0,1
ডিসেম্বারে খুব শীত থাকে । না যাওয়াই ভালো । ফেব্রুয়ারি থেকে মে হল পার্ফেক্ট টাইম,1,2
"হাসিনা তন্ত্রে এমন গঠনা , বঙ্গবল্টুর সপ্ন ",0,2
আরে নাস্তিকের বাচ্চা আল্লাহ বাচিয়েছে,2,1
ভাই পাচপোর্ট ও ভিসা লাগবে কি,0,1
"আপনি বাঙালি বললে লোকে হাসবে ! আপনি কাসুন্দি জানেন না , আপনি ডালনা কি জানেন না ",2,1
আজ রাতে ডিনার হয়নি বাড়িতে । আপনার খাও ৯ : ৩৬ দেখে পেট ভরে যাচ্ছে,1,2
এতো খাচ্ছেন মোটা হচ্ছেন না কেন,0,2
অনেক বার খাইছি ভাই # মিরপর_1,0,1
মান্নার মুরগীর মাংসের ভর্তা খেয়ে দেখতে পারতেন,0,1
"গত বছরের নির্বাচনের আগে সরকার ভারতকে আমাদের বন্দর দুটি সমর্পণ করেছেন । এখন তারা দুই বন্দরকে নিজেদের মতো ব্যবহার করবে , এতে বাংলাদেশের অর্থনৈতিক ফায়দা হবে না মোটেই , কারণ তাদের ব্যবহারের ক্ষতি পোষাতে আরও বেশি খরচ হয়ে যাবে ",0,2
যমুনার উপস্থাপিকার পোশাক মোটেও গ্ৰহন যোগ্য নয় । এটি আমাদের দেশে বা ধর্মেও গ্ৰহন যোগ্য নয় । এই পোশাকে উপস্থাপনা করলে যমুনা টেলিভিশন তাদের জনপ্রিয়তা হারাবে । তাই আমি বিনীত অনুরোধ করব যে ভবিষ্যতে ভালো গ্ৰহন যোগ্য পোশাক পরে উপস্থাপনা করবেন,2,1
কোন বাঙালি জল খাবার এ সিঙাড়া খায় জানিনা । আমরা সাধারণত সিঙাড়া সন্ধে বেলায় খাই,0,1
ভাই আপনি গাজিপুর হোটেল নিরিবিলিতে জাইতে পারেন জেখানে ৭০ পদের বরতা আছে,1,2
সিংগেল গেলেকি চান্দের গাড়িতে যাওয়া যাবেনা,0,1
ভাই এইটা বম ভাজা না মরিচ চাটনি ?,0,2
আর একটা অনুরোধ যদি রাখেন আরকি একদিন পথশিশুদের নিয়ে ভাল একটা খাবার নিয়ে ভিডিও চাই যারা কখনো এসব খাবার খায়নি,1,2
"পুরো ভিডিওতেই তারা অনেক বোকা বোকা প্রশ্ন করেছে , তার মধ্যে সেরা ছিল ১৩ : ৫৫ এ ",2,1
"আমার মনে হচ্ছে গোস্তের মধ্যে গরমিল রয়েছে , তা না হলে এত কমদামে বিক্রি । একটা কমেন্টসে দেখলাম ২০ টাকায় নাকি হালিম পাওয়া যায় , তাও আবার গরু গোস্ত দিয়ে ",1,2
আল্লাহ তুমাদের সবাইকে ভাল রাগবে,0,1
গত 6 মাসে 2083জন নারী ও শিশু নির্যাতনের শিকার,2,1
"কোন ধরনের জ্বালই আমার জন্য ব্যাপার না , আমি প্রচন্ড জ্বাল খেতে পছন্দ করি ",0,1
খাসা রিভিউ । বাংলাদেশ যাবোই,1,0
"সেলের দিক থেকেই কিন্তু আইফোন নাম্বার ওয়ান ! 2019 এ দেখেন সবচেয়ে বেশি সেল হয়েছে আইফোনের লো বাজেটের ফোন এস আর , শীর্ষ দশে আছে আইফোনের আরও তিনটি ফোন আর বাকি সাতটি হলো লো বাজেটের ফোন  ",1,0
"সরকার এর কাছে বিনীত অনুরোধ এই পুলিশরা ইয়াবা কোথায় পেল , তাদের উপযুক্ত বিচার করা , যাতে ভবিষ্যতে আর কোন পুলিশ এরকম অপরাধ না করতে পারে ",1,2
তিনিত বাংলাদেশের মানুষ ছিল,1,0
ভাই খাইলেন মাছ কাইলেন মাখন ? বুঝলাম না কি খাইলেন,2,0
সত্যিই ভালো জিনিস কার না ভালো লাগে,0,1
ভাই শুধু তো মুখে মুখে বলা আমরা আছি তর সাথে ? আদৌ জীবনে কখনও কোন আন্দোলন কিংবা দাবি প্রতিষ্ঠায় সোচ্চার হইছেন ? আপনারা শুধু পারেন কমেন্ট বক্স গুলাতে কমেন্ট করতে । আপনাদের দৌড় এই পর্যন্তই । তবে নুরুর সাহসীকতাকে অবশ্যই সাধুবাদ জানাই,0,1
কমিশন না দেওয়াতে এত অভিযান চালাচ্ছে,2,1
হোসেন আমার ছোট সৈনিক 1218266,0,1
"এইটা ভ্লগ না , ভ্লগের প্রোমো , তাই এত ছোট ! ",0,1
ডেসক্রিপশন বক্সেই বলে দেয়া আছে,0,1
শচীনদা তো বাংলাদেশের ভাষায় কথা বলছেন না ! ব্যাপারটা কি,2,0
"একটা জিনিস ক্লিয়ার হতে পারছি না , আমি যদি বাই রোডে ভুটান যাই , সে ক্ষেত্রে তো ট্রানজিট ভিসা , লাগবেই বাট , পোর্ট কি চ্যাংরা বান্ধা জয়গাও , দিলে , আমি আগরতলা দিয়ে কি ভাবে যাবো ",0,1
সুশিক্ষাই জাতির মেরুদন্ড ,1,2
খুলনায় ফুলবাড়ীগেট আমি দুই টাকার সিংঙ্গারা খাইছি,1,0
আমি তো সিউলে দেখলাম র‍্যামেন বলছে,1,0
লটারি আয়োজকরা সবচাইতে বড় চোর,1,2
* সকালে কি পানি পাওয়া গিয়েছিলো ? *,0,1
"এই ফ্রাইডে আমি যাবো , কারণ আই লাভ ফালুদা অ্যান্ড লাচ্চি ",1,2
"আমারা সবাই তাব্লিগ এ গিয়ে সুধু অজু ভাংার কারন জানি , কিন্তু ঈমাণ ভঙ্গের কারণ সমূহ জানিনা ",0,2
"সঠিক তদন্ত করে তার লটারির টাকা পাওয়ে দেওয়া হোক , মিথ্যা ভেলুটির কোনো শেষ নেই , সোচ্চার ও রুখে দাড়ান , তার প্রাপ্য টাকা ",1,0
আমি খোঁজতে খোঁজতে পাইলাম না । শেষ পর্যন্ত দেখতে হল,0,1
কুকু বাছা ডাং জুতাদিয়া পিটানো আছিগ,2,1
"তাহলে ক্যাভিয়ার দিয়ে খান ! ভর্তা আমার মতো বড়লোকদের খাবার , আর ক্যাভিয়ার আপনার মতো গরিবদের জন্য ",0,1
"বালবেটা , কি অনৈতিক কাজ , ঝেরে বল না । বলতে লজ্জা লাগে নাকি ? ",0,2
* আমার চিংড়ি লৈতা ফিশ খেতে খুব ভালো লাগে । আর কার কার ভালো লাগে * ,1,2
বাজের ত লিমিট আছে ঐটার কোন লিমিট নাই,0,1
"জীবনের কঙ্কাল টা কাছ থাইকা দেখি , কিছু কিছু প্রশ্ন আছে মনের মইধ্যে রাখি. ",1,0
চাএলিক এত খারাপ ভাবতেও অবাক লাগে এভাবে মানুষ খুন করতে পারে চাএলিগ,0,2
ওই পুলিশদের উপযুক্ত শাস্তি হওয়া প্রয়োজন এরকম পুলিশ না থাকলে ভালো হয় আমাকে এরকম একবার হাসাতে চেয়েছিল আল্লাহ বাঁচিয়েছে,2,0
আইনে পোশাক পরে বেআইনি কাজ করে । এগুলা কি সরকারের চোখে পড়ে না,0,2
"ভাই অনেক দিন ধরেই আপনার ভিডিও গুলা দেখি খুব ভাল্লাগে । বাট আজ যখন 1 । 30 তে বললেন আপনি আলু পছন্দ করেন না তখন নিজেকে আর ধরে রাখতে পারিনি , আনসাবস্ক্রাইব করে দিলাম । বিদায় ",2,1
এরা মনে হয় পরকালে বিশ্বাস করে না । নাইলে এমন পাপ কাজ করার সাহস পাইতো না,0,2
আপনি খাবার খাওয়ার সময় বাম হাত দিয়ে খাচ্ছেন আবার ডান হাত দিয়ে ও খাচ্ছেন একজন মুসলিম হিসাবে ইহা ঠিক নয় । বাম হাত দিয়ে খাবার খাওয়া হারাম,2,1
এই জোকগুলো এতদিন ধরে শুধু চুষেই গেছে ꫰ মনে হয় বাইরের কাউকে কোনদিন কিছুই দেয়নি ꫰ তাই এখন বাইরের কাউকে দিতে ফেটে যাচ্ছে,0,2
শরিরটাকে শুকনা শুকনা মনে হচ্ছে,0,2
"বাই রোড বেনাপোল , বাই ট্রেন গেদে , আর বাই এয়ার । ভিসায় উল্লেখ না থাকলেও সবার জন্য ফ্রি । যেতে পারবেন ",1,2
এই নারীকে জেলে দিলে জ্বলবে আগুন ঘরে ঘরে,0,1
ভিন্ন মতের অব্যশই প্রয়োজন আছে,0,2
ওটা সুদিপার রান্নাঘর না লিখে লিখা উচিৎ ছিল যে সুদিপার কসাইখানা,2,1
"অতটা টেষ্টিও না ভাই , মোটামুটি ",0,1
সুদীপার রান্নাঘরের মালিক কি জি বাংলার সুদীপাদি,0,1
কোথায় পাভলো এস্কোভার আর কোথায় সম্রাট,0,1
বালের হোটেল মাদারের বাচ্চারা,2,0
দ্যাখো ভাই তোমরা ১৯৪৭ এর দেশ ভাগ এর সম্পর্কে জানোনা । আর এ না জানার কারনেই আনেকে আজ বলছো জে তারা এদোশি না,0,2
আপনি সত্যি কথায় লেখেছেন । তাই আনেকের সত্যি হজম হবেনা,0,1
"এই চিত্তবাবু কাংলাদেশে দোকান খুললে কাংলারা হামলে পড়ে খাবে , জিও চিত্তবাবু , কাংলাদেশে অধিকাংশ দোকানের থেকে এই খাবার অনেক ভালো ",1,0
"সবাই একহয়ে বাংলাদেশকে বাঁচান , আর কোনো আবরারকে এভাবে জীবন দিতে না হয় সে পথ খুঁজে বের করুন , জবাবদিহিতামূলক রাষ্ট্র , গণতান্ত্রিক রাষ্ট্র , মত প্রকাশের অধিকার , স্বাধীন ভাবে বেঁচে থাকার অধিকার , দেশের স্বার্থকে আগলে রাখার সুযোগ আজ আর নেই ",1,2
আদনান ভাই কি খাবার চিবানো পছন্দ করেন না ?,0,1
"অাললাহ কে , কোথায় থাকে , সে তো একটি ভাষা , একজন মানুষ ও একটি দেশের সাথে সমপর্ক দেখলাম , সে অারবি ছাড়া বোঝেনা , নিজের প্রশংসা ছাড়া কিছুই বোঝে না , হাস্য কর এই অাললাহ জিনিসটা হাহাহা ",2,1
"ভাও , আপনি ইংরেজিতে কিছু পর্ব করেন ",0,2
ভাই নিলা মার্কেট কোথায় বলবেন কি ,1,0
ভিডিএএর ২ মিনিটে যে ভাবী আসছিল ওইটা ভাবী পরে না আসলে টেরই পেতাম না,0,1
আর সব অপরাধি কে ফাসি দিতে হবে ,1,2
"স‌ত্যি‌রে রে ভাই অপরাধ না ক‌রেও কিছু খারাপ মানু‌ষের জন্য অনেক ভা‌লো মানুষরাও জ‌রি‌য়ে পর‌ছে বি‌ভিন্ন মামলায় , আমার দেখা অনেক ",2,1
সাধারন্ত এতো বেশী প্রশ্নের উত্তর দেবার সময় হয় না ভাইয়া :,0,1
খুঁজলে আর অনেক কিছু পাওয়া যাবে । ঢাকা শহর এক গভীর । নাম,0,1
সবকিছুর পরিমানসহ দিলে অনেক ভাল হইতো,0,2
